Date,Min Wage,CPI,USDTL
May-77,1820,103.00,17.85
Jun-77,1820,104.04,17.85
Jul-77,1820,107.77,17.85
Aug-77,1820,110.51,17.85
Sep-77,1820,112.03,18.564
Oct-77,1820,119.30,19.635
Nov-77,1820,120.54,19.635
Dec-77,1820,120.22,19.635
Jan-78,1820,122.41,19.635
Feb-78,1820,124.58,19.635
Mar-78,1820,124.89,25.5
Apr-78,1820,127.26,25.5
May-78,1820,136.11,25.5
Jun-78,1820,136.54,25.5
Jul-78,1820,137.79,25.5
Aug-78,1863.64,138.21,25.5
Sep-78,2780,145.49,25.5
Oct-78,2780,156.70,25.5
Nov-78,2780,158.25,25.5
Dec-78,2780,159.18,25.5
Jan-79,2780,171.47,25.5
Feb-79,2780,175.20,25.5
Mar-79,2780,180.18,25.5
Apr-79,2780,189.27,26.571
May-79,2780,191.60,27.03
Jun-79,2780,215.78,32.81
Jul-79,3485.91,224.90,35.7
Aug-79,4333,236.01,35.7
Sep-79,4333,251.90,35.7
